"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.350124992E-3,1.239422607E-1,1.806742859E-1,9.790690155E0,9.793141406E0
8.692875010E-3,3.532653809E-2,-5.059478760E-2,9.805209961E0,9.805404131E0
1.873587501E-2,1.095721436E-1,1.462458801E-1,9.814191284E0,9.815892444E0
2.877787501E-2,1.071771240E-1,4.340972900E-3,9.853559418E0,9.854143239E0
3.882087501E-2,7.304809570E-2,9.400451660E-2,9.767488403E0,9.768213889E0
4.886387501E-2,9.684860229E-2,5.688171387E-2,9.805209961E0,9.805853230E0
5.890587500E-2,1.044827271E-1,7.394622803E-2,9.833052063E0,9.833885171E0
6.894887501E-2,7.244934082E-2,7.439529419E-2,9.786199493E0,9.786750436E0
7.899187501E-2,9.071136475E-2,6.676116943E-2,9.825717316E0,9.826362825E0
8.903387500E-2,8.816665649E-2,6.691085815E-2,9.822723541E0,9.823347097E0
9.907687501E-2,6.900650024E-2,7.439529419E-2,9.815688171E0,9.816212652E0
1.091198750E-1,8.846603394E-2,8.277786255E-2,9.822873230E0,9.823620356E0
1.191618750E-1,7.753875732E-2,7.244934082E-2,9.822124786E0,9.822698025E0
1.292048750E-1,8.322692871E-2,7.170089722E-2,9.808503113E0,9.809118261E0
1.392478750E-1,9.490264893E-2,7.484436035E-2,9.823322296E0,9.824065814E0
1.492898750E-1,7.783813477E-2,8.756790161E-2,9.830806732E0,9.831504865E0
1.593328750E-1,8.262817383E-2,7.379653931E-2,9.811945953E0,9.812571362E0
1.693758750E-1,8.981323242E-2,6.676116943E-2,9.815388794E0,9.816026724E0
1.794178750E-1,9.759704590E-2,7.484436035E-2,9.831854553E0,9.832623801E0
1.894608750E-1,8.801696777E-2,7.125183105E-2,9.813592529E0,9.814245877E0
1.995038750E-1,8.562194824E-2,8.217910767E-2,9.823022919E0,9.823739806E0
2.095458750E-1,9.834548950E-2,6.646179199E-2,9.810898132E0,9.811616134E0
2.195888750E-1,9.385482788E-2,8.846603394E-2,9.814041595E0,9.814889067E0
2.296318750E-1,8.068222046E-2,6.032455444E-2,9.811047821E0,9.811565014E0
2.396738750E-1,8.696914673E-2,7.574249268E-2,9.798923035E0,9.799601686E0
2.497168750E-1,9.280700684E-2,6.256988525E-2,9.813143463E0,9.813781777E0
2.597598750E-1,5.897735596E-2,6.601272583E-2,9.818382568E0,9.818781608E0
2.698018750E-1,8.562194824E-2,5.867797852E-2,9.804760895E0,9.805310318E0
2.798448750E-1,1.357676697E-1,7.888595581E-2,9.890981598E0,9.892227900E0
2.898878750E-1,8.337661743E-2,5.134323120E-2,9.774224396E0,9.774714846E0
2.999298750E-1,9.071136475E-2,8.277786255E-2,9.806856537E0,9.807625394E0
3.099728750E-1,1.118174744E-1,6.541397095E-2,9.840237122E0,9.841089815E0
3.200158750E-1,8.981323242E-2,6.780899048E-2,9.810748444E0,9.811393861E0
3.300578750E-1,1.005908203E-1,8.801696777E-2,9.805209961E0,9.806120939E0
3.401008750E-1,1.076261902E-1,5.733078003E-2,9.843679962E0,9.844435251E0
3.501438750E-1,8.816665649E-2,7.304809570E-2,9.798623657E0,9.799292574E0
3.601858750E-1,9.939331055E-2,7.424560547E-2,9.822274475E0,9.823057941E0
3.702288750E-1,9.804611206E-2,7.005432129E-2,9.828411713E0,9.829150393E0
3.802718750E-1,8.008346558E-2,6.376739502E-2,9.818232880E0,9.818766548E0
3.903138750E-1,1.008901978E-1,6.526428223E-2,9.814490662E0,9.815226192E0
4.003568750E-1,1.011895752E-1,7.200027466E-2,9.814939728E0,9.815725405E0
4.103998750E-1,8.532257080E-2,7.050338745E-2,9.804311829E0,9.804936568E0
4.204418750E-1,1.076261902E-1,6.855743408E-2,9.821975098E0,9.822803996E0
4.304848750E-1,1.089733887E-1,6.032455444E-2,9.817035370E0,9.817825508E0
4.405278750E-1,8.232879639E-2,7.679031372E-2,9.811646576E0,9.812292460E0
4.505698750E-1,9.729766846E-2,7.529342651E-2,9.837542725E0,9.838311989E0
4.606128750E-1,9.909393311E-2,6.286926270E-2,9.833201752E0,9.833902015E0
4.706558750E-1,8.532257080E-2,6.616241455E-2,9.812844086E0,9.813438055E0
4.806978750E-1,1.106199646E-1,7.978408813E-2,9.817783813E0,9.818731144E0
4.907409167E-1,1.028361511E-1,6.212081909E-2,9.820478210E0,9.821213090E0
5.007839167E-1,9.250762939E-2,7.080276489E-2,9.822723541E0,9.823414298E0
5.108259167E-1,9.774673462E-2,6.511459351E-2,9.815239105E0,9.815941780E0
5.208689167E-1,1.115180969E-1,8.232879639E-2,9.817933502E0,9.818911985E0
5.309119167E-1,1.145118713E-1,7.963439941E-2,9.814640350E0,9.815631402E0
5.409549167E-1,1.037342834E-1,6.990463257E-2,9.818232880E0,9.819029705E0
5.509969167E-1,9.445358276E-2,7.020401001E-2,9.825717316E0,9.826422078E0
5.610399167E-1,8.472381592E-2,7.259902954E-2,9.810149689E0,9.810784151E0
5.710829167E-1,8.068222046E-2,6.840774536E-2,9.803114319E0,9.803685000E0
5.811249167E-1,8.517288208E-2,7.828720093E-2,9.834099884E0,9.834780315E0
5.911679167E-1,9.864486694E-2,7.349716187E-2,9.802814941E0,9.803586763E0
6.012109167E-1,1.115180969E-1,6.466552734E-2,9.809850311E0,9.810697276E0
6.112529167E-1,1.028361511E-1,7.364685059E-2,9.825268250E0,9.826082399E0
6.212959167E-1,1.005908203E-1,8.217910767E-2,9.811047821E0,9.811907626E0
6.313389167E-1,8.966354370E-2,6.721023560E-2,9.804611206E0,9.805251535E0
6.413809167E-1,1.097218323E-1,7.469467163E-2,9.805060272E0,9.805958654E0
6.514239167E-1,9.759704590E-2,5.882766724E-2,9.820478210E0,9.821139351E0
6.614669167E-1,9.804611206E-2,7.065307617E-2,9.815987549E0,9.816731455E0
6.715089167E-1,1.059796143E-1,7.394622803E-2,9.815239105E0,9.816089772E0
6.815519167E-1,8.891510010E-2,7.095245361E-2,9.808802490E0,9.809462087E0
6.915949167E-1,1.022373962E-1,7.409591675E-2,9.823022919E0,9.823834381E0
7.016369167E-1,9.041198730E-2,6.541397095E-2,9.819131012E0,9.819765127E0
7.116799167E-1,9.400451660E-2,5.718109131E-2,9.813891907E0,9.814508693E0
7.217229167E-1,1.094224548E-1,6.017486572E-2,9.814340973E0,9.815135405E0
7.317649167E-1,1.065783691E-1,6.002517700E-2,9.810449066E0,9.811211589E0
7.418079167E-1,9.385482788E-2,7.065307617E-2,9.813293152E0,9.813996284E0
7.518509167E-1,9.385482788E-2,6.750961304E-2,9.829908600E0,9.830588454E0
7.618929167E-1,1.065783691E-1,6.750961304E-2,9.824220428E0,9.825030459E0
7.719359167E-1,1.134640503E-1,6.301895142E-2,9.816286926E0,9.817144926E0
7.819789167E-1,1.083746338E-1,6.571334839E-2,9.824669495E0,9.825486959E0
7.920209167E-1,1.011895752E-1,7.274871826E-2,9.813143463E0,9.813934804E0
8.020639167E-1,9.789642334E-2,6.301895142E-2,9.807455292E0,9.808146328E0
8.121069167E-1,9.370513916E-2,5.478607178E-2,9.809700623E0,9.810301141E0
8.221489167E-1,8.891510010E-2,7.469467163E-2,9.804311829E0,9.804999522E0
8.321919167E-1,9.131011963E-2,6.840774536E-2,9.811796265E0,9.812459584E0
8.422349167E-1,8.711883545E-2,7.319778442E-2,9.816735992E0,9.817395436E0
8.522769167E-1,8.023315430E-2,7.155120850E-2,9.817185059E0,9.817773648E0
8.623199167E-1,8.906478882E-2,6.436614990E-2,9.807754669E0,9.808370262E0
8.723629167E-1,8.143066406E-2,7.439529419E-2,9.831555176E0,9.832173859E0
8.824049167E-1,1.022373962E-1,6.960525513E-2,9.805509338E0,9.806289347E0
8.924479167E-1,7.649093628E-2,5.957611084E-2,9.803563385E0,9.804042800E0
9.024909167E-1,9.280700684E-2,6.661148071E-2,9.821526031E0,9.822190378E0
