"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.557458332E-3,-2.901907576E-2,8.540991358E-3,-1.143025410E-1,1.182375836E-1
1.760045833E-2,3.144634862E-2,-3.390562814E-4,7.386202812E-2,8.027818508E-2
2.764445834E-2,-1.076479711E-2,-1.123314081E-3,7.102320492E-2,7.184315088E-2
3.768745835E-2,-1.545176986E-2,-1.300725913E-2,-6.085080385E-2,6.411525802E-2
4.773045833E-2,1.708277300E-2,-2.388572976E-2,-1.803339779E-2,3.446088588E-2
5.777345833E-2,1.823231733E-2,-1.058551599E-2,7.762412667E-2,8.043615845E-2
6.781645834E-2,-2.792856090E-2,-1.264666865E-2,3.528794646E-3,3.086089975E-2
7.786045833E-2,-1.088436125E-2,1.649635666E-2,-9.032544851E-2,9.246234775E-2
8.790345833E-2,-2.728600900E-3,2.154646891E-2,1.116408885E-2,2.441991943E-2
9.794645834E-2,5.041921581E-3,2.490837123E-2,4.858802319E-2,5.483287269E-2
1.079894583E-1,5.277785927E-3,5.208263903E-2,-5.065384448E-2,7.284413685E-2
1.180334583E-1,2.254863599E-2,3.296389751E-2,-3.358640671E-2,5.218339046E-2
1.280764583E-1,2.482903868E-2,3.077403302E-2,6.416500568E-2,7.537022107E-2
1.381194583E-1,9.919223485E-3,4.049694766E-2,2.599905968E-2,4.913598344E-2
1.481624583E-1,8.214307877E-3,5.035495126E-2,-8.237615883E-2,9.689647834E-2
1.582054583E-1,3.797145071E-2,3.084760744E-2,2.285735071E-2,5.399874476E-2
1.682494583E-1,1.872013043E-2,3.064303712E-2,7.764400721E-2,8.554549002E-2
1.782924583E-1,1.173412157E-2,2.613466940E-2,-1.441280186E-2,3.206929078E-2
1.883354583E-1,3.476893984E-2,1.992573950E-2,-5.497610629E-2,6.803151133E-2
1.983784583E-1,3.598737395E-2,1.210200051E-2,6.926670134E-2,7.899003364E-2
2.084214583E-1,9.258159210E-3,1.674447960E-2,2.406012297E-2,3.074053718E-2
2.184654583E-1,3.476497012E-2,2.940678955E-2,-7.817551911E-2,9.046974194E-2
2.285084583E-1,3.429394949E-2,4.485444808E-3,7.899588346E-3,3.547672030E-2
2.385514583E-1,1.097148248E-2,8.013572507E-3,6.328441501E-2,6.472640848E-2
2.485944583E-1,1.821664862E-2,2.090301024E-2,-1.859239161E-2,3.338351614E-2
2.586374583E-1,1.028056086E-2,2.364931952E-2,-8.086172998E-2,8.487402206E-2
2.686814583E-1,1.897964631E-2,2.423389491E-2,6.044559181E-2,6.783198512E-2
2.787244583E-1,2.083182039E-2,2.991233616E-2,2.736438453E-2,4.557984353E-2
2.887674583E-1,-6.442197254E-3,1.694674758E-2,-1.018175662E-1,1.034191033E-1
2.988104583E-1,1.024376908E-2,3.503130851E-2,-1.275277734E-2,3.866213536E-2
3.088544583E-1,3.039141727E-2,3.339695692E-2,7.885671973E-2,9.087011182E-2
3.188974583E-1,-7.392623329E-3,3.927227575E-2,-2.622534692E-2,4.779886341E-2
3.289404583E-1,7.881772611E-3,2.640911395E-2,-5.990530908E-2,6.594095613E-2
3.389834583E-1,-8.848938625E-5,2.712879656E-2,3.963944435E-2,4.803399818E-2
3.490264583E-1,2.367640401E-3,3.217260478E-2,3.454885840E-2,4.726844441E-2
3.590704583E-1,9.382759721E-3,8.063456565E-3,-6.409893215E-2,6.528191644E-2
3.691134583E-1,3.749520642E-2,2.670200463E-2,-2.203815579E-2,5.103496710E-2
3.791564583E-1,3.701811017E-2,1.900254638E-2,8.304040253E-2,9.288242946E-2
3.891994583E-1,-5.209423753E-3,1.175528803E-2,-2.144817173E-2,2.500697829E-2
3.992424583E-1,1.795625109E-2,-1.417885842E-3,-7.459293008E-2,7.673683973E-2
4.092864583E-1,2.764157453E-2,4.140541311E-3,4.096325397E-2,4.959020973E-2
4.193294583E-1,1.042469929E-2,-1.138387106E-2,1.006913924E-1,1.018676759E-1
4.293724583E-1,1.608350212E-2,2.752878265E-3,-1.261536777E-2,2.062534565E-2
4.394154583E-1,4.943242508E-2,-6.545409746E-3,-7.358720899E-3,5.040394639E-2
4.494594583E-1,6.683224051E-2,-6.140088066E-3,1.712503284E-1,1.839318462E-1
4.595024583E-1,-3.639110592E-2,3.051229703E-2,-2.063131571E-2,5.177802669E-2
4.695454583E-1,2.206564684E-2,3.391061654E-2,-7.060746789E-2,8.137712951E-2
4.795884583E-1,9.709415794E-3,6.796303720E-2,3.583700001E-2,7.744377154E-2
4.896314583E-1,5.376203245E-2,3.272973480E-2,1.243311006E-1,1.393549936E-1
4.996754583E-1,9.087335089E-2,2.552601079E-2,6.392059207E-2,1.139973036E-1
5.097184583E-1,4.244461865E-2,-2.253793924E-1,3.001311475E-1,3.777249289E-1
5.197614583E-1,2.985401932E-1,-5.250122841E-1,5.092322570E-1,7.899883777E-1
5.298044583E-1,2.351674853E-1,-2.442802612E-1,-1.395268446E-1,3.666665140E-1
5.398474583E-1,4.081165029E-1,-1.588100482E-1,-5.211985838E-1,6.807552241E-1
5.498914583E-1,7.205807073E-2,-2.072817849E-2,-2.546789861E-1,2.654871162E-1
5.599344583E-1,6.085869759E-2,-9.848663581E-2,3.337122917E-2,1.204866691E-1
5.699774583E-1,3.165757472E-1,9.586784150E-4,-9.760523200E-2,3.312822121E-1
5.800204583E-1,3.801714168E-1,6.950915979E-2,-4.489316761E-1,5.923693774E-1
5.900644583E-1,2.711493500E-1,1.648350192E-1,-4.314286208E-1,5.355587815E-1
6.001074583E-1,-2.214748959E-1,2.804316952E-1,1.490174603E-1,3.871682692E-1
6.101504583E-1,-3.002275717E-2,2.960997847E-1,7.203980184E-1,7.794547795E-1
6.201934583E-1,5.252819503E-1,4.632333809E-1,1.793370277E-1,7.229578563E-1
6.302364583E-1,5.705681605E-1,4.430703541E-1,-2.061201990E-1,7.512289271E-1
6.402804583E-1,6.441639941E-1,4.022564599E-1,-3.101024044E-1,8.203176288E-1
6.503234583E-1,8.736375339E-1,5.443103250E-1,-1.755018389E-1,1.044182535E0
6.603664583E-1,6.483465075E-1,4.973085418E-1,2.628744435E-1,8.583542116E-1
6.704094583E-1,1.124620495E0,6.693244169E-1,2.448983485E-1,1.331443440E0
6.804524583E-1,2.109206753E0,6.812261320E-1,-2.259481072E-2,2.216603865E0
6.904964583E-1,2.483882006E0,2.743737240E-1,7.771066546E-2,2.500197934E0
7.005394583E-1,2.447383248E0,9.366197940E-3,1.621690178E-1,2.452768085E0
7.105824583E-1,2.265817846E0,1.255164043E-1,7.958937585E-2,2.270686977E0
7.206254583E-1,2.241837245E0,4.055741701E-1,-2.468419629E-1,2.291561825E0
7.306684583E-1,1.644232948E0,3.936443884E-1,-1.643009126E-2,1.690777289E0
7.407124583E-1,8.674937913E-1,1.115459534E-1,2.054582942E-1,8.984437035E-1
7.507554583E-1,6.753481454E-1,-1.734880761E-2,-1.659106511E-1,6.956453426E-1
7.607984583E-1,1.414954103E-1,-1.289794360E-1,-3.063952696E-1,3.612958722E-1
7.708414583E-1,-1.093753117E0,-1.722386175E-1,-1.626771408E-1,1.119118347E0
7.808854583E-1,-2.466536534E0,-1.066183678E-1,-6.895387530E-2,2.469802540E0
7.909284583E-1,-3.289635048E0,-3.216237215E-1,-1.202947676E-2,3.305341930E0
8.009714583E-1,-3.609666609E0,-7.709923674E-1,3.489665079E-1,3.707546342E0
8.110144583E-1,-3.147701197E0,-6.671781233E-1,1.234914404E-1,3.219999939E0
8.210574583E-1,-2.211440056E0,-6.248852125E-1,-5.557603061E-2,2.298703405E0
8.311020417E-1,-1.369752951E0,-5.064939328E-1,3.975229561E-2,1.460937882E0
8.411450417E-1,-8.194652735E-1,-4.596234196E-1,1.108433282E-1,9.460778328E-1
8.511880417E-1,-5.901474890E-1,-4.285234317E-1,2.401685357E-2,7.297144644E-1
8.612310417E-1,-5.810617930E-1,-4.059965949E-1,-5.127598822E-2,7.107005482E-1
8.712740417E-1,-3.276646993E-1,-3.199184542E-1,7.776796818E-2,4.644995472E-1
8.813180417E-1,1.774166011E-1,5.588146540E-2,7.538873613E-2,2.007058794E-1
8.913610417E-1,4.196436308E-1,1.143199639E-1,-6.111275911E-2,4.392090622E-1
9.014040417E-1,4.030819406E-1,2.524391370E-1,-8.176278591E-2,4.825823473E-1
9.114470417E-1,1.922144786E-1,2.040240087E-1,5.071231663E-2,2.848577557E-1
9.214900417E-1,1.378186537E-1,1.070936093E-1,-3.927574754E-3,1.745807787E-1
9.315340417E-1,-1.701646649E-2,4.290595483E-2,-1.295269364E-1,1.375053030E-1
9.415770417E-1,-2.427088951E-1,-1.144805339E-1,8.472615480E-3,2.684868444E-1
9.516200417E-1,-1.113730860E-1,2.455894528E-3,5.860488832E-2,1.258750517E-1
9.616630417E-1,3.935695531E-2,1.001765999E-1,-3.780341864E-2,1.140763760E-1
9.717070417E-1,1.570523935E-1,1.457441342E-1,-5.367685497E-2,2.208800845E-1
9.817500417E-1,2.273658378E-1,2.055425306E-1,4.421255171E-2,3.096735471E-1
9.917930417E-1,4.065339540E-1,3.042110788E-1,3.597324014E-2,5.090268266E-1
1.001836042E0,8.597134861E-1,5.512703389E-1,-8.662006795E-2,1.024943560E0
1.011879042E0,9.091102523E-1,5.081717183E-1,1.848889589E-3,1.041500535E0
1.021923042E0,8.615692462E-1,4.984719184E-1,4.271741867E-2,9.962934293E-1
1.031966042E0,1.266131958E0,6.270288748E-1,-5.697176099E-2,1.414037173E0
1.042009042E0,1.750242822E0,7.040129507E-1,-7.388366282E-2,1.887973243E0
1.052052042E0,1.845703442E0,5.975464461E-1,5.230919123E-2,1.940726462E0
1.062096042E0,1.806745198E0,5.535883579E-1,3.585044861E-2,1.889992998E0
1.072139042E0,1.852716738E0,5.622029145E-1,-8.509511411E-2,1.938007381E0
1.082182042E0,2.253942736E0,5.368397030E-1,-2.252230525E-2,2.317102065E0
1.092225042E0,2.099562940E0,3.535052629E-1,1.175921845E-1,2.132359827E0
1.102268042E0,2.045476780E0,3.470763955E-1,-2.205745161E-2,2.074831033E0
1.112312042E0,1.255179099E0,7.098823126E-2,-3.596973181E-2,1.257699377E0
1.122355042E0,3.926915480E-1,-1.895033623E-1,-4.929845989E-2,4.388035031E-1
1.132398042E0,-3.567783698E-2,-3.350196926E-1,6.205591500E-2,3.425814342E-1
1.142441042E0,-2.673675537E-1,-4.711282915E-1,-5.576372623E-2,5.445703526E-1
1.152484042E0,-9.505662073E-1,-5.086839709E-1,1.014100152E-1,1.082875564E0
1.162528042E0,-1.940265344E0,-4.057239684E-1,4.661634207E-2,1.982779520E0
1.172571042E0,-2.575128099E0,-4.620429974E-1,-3.902022421E-2,2.616541809E0
1.182614042E0,-2.764572039E0,-5.641504393E-1,2.040210485E-2,2.821620195E0
1.192657042E0,-3.010985986E0,-8.240428394E-1,2.113826931E-2,3.121783150E0
1.202701042E0,-2.783089879E0,-8.585693322E-1,1.271108669E-1,2.915285191E0
1.212744042E0,-2.467267728E0,-8.523586390E-1,-5.701386094E-2,2.610972208E0
1.222787042E0,-2.416189960E0,-1.031554018E0,1.807959080E-3,2.627181167E0
1.232830042E0,-1.810182337E0,-1.066628541E0,7.650087655E-2,2.102453073E0
1.242873042E0,-1.873596451E-1,-2.234874162E-1,4.926337659E-2,2.957653497E-1
1.252917042E0,5.121533250E-2,5.478563780E-2,-8.291000962E-2,1.117968966E-1
1.262960042E0,-6.034372235E-2,-3.473511050E-2,-4.022299647E-3,6.974289657E-2
1.273003042E0,-5.952851085E-2,-3.470085403E-2,1.012117946E-1,1.224402721E-1
1.283046042E0,-8.075620601E-2,-5.272474097E-2,-5.357218981E-3,9.659276844E-2
1.293089042E0,-7.050113079E-2,-1.731603123E-2,-6.118058681E-2,9.493849895E-2
1.303133042E0,-4.138701266E-2,2.039397814E-2,5.423058629E-2,7.120221661E-2
1.313176042E0,3.889522171E-3,1.148221392E-2,4.839798868E-2,4.989323529E-2
1.323219042E0,-1.111246433E-2,5.168658153E-2,-1.536063552E-2,5.505396169E-2
1.333262042E0,5.521942355E-2,7.671044441E-2,5.603971481E-3,9.468411437E-2
1.343306042E0,6.030969886E-2,7.579528664E-2,5.635078669E-2,1.120606818E-1
1.353349042E0,5.485662209E-2,8.898833647E-2,-3.674975038E-3,1.046024783E-1
1.363392042E0,2.750544861E-2,1.082159367E-1,-1.102685469E-1,1.569279806E-1
1.373435042E0,7.924643666E-2,7.422992305E-2,3.760285914E-2,1.149088953E-1
1.383478042E0,1.152881258E-1,4.808636863E-2,1.928364944E-1,2.297597971E-1
1.393522042E0,7.123895804E-2,1.066231552E-1,-8.079741061E-2,1.515642040E-1
1.403565042E0,6.928601086E-2,9.529466819E-2,-3.858869970E-2,1.239786789E-1
1.413608042E0,1.125797868E-1,4.754088736E-2,1.319067532E-1,1.798158389E-1
1.423651042E0,5.346177336E-2,6.137151668E-2,-3.843959570E-2,9.001237019E-2
1.433694042E0,2.115471003E-2,5.045752878E-2,-1.102907664E-1,1.231159499E-1
1.443738042E0,4.506732328E-3,3.924580797E-2,4.179355860E-2,5.750865691E-2
1.453781042E0,-3.120281209E-2,3.546580689E-2,6.918484032E-2,8.377339118E-2
1.463824042E0,-6.241840582E-2,1.908715285E-2,-1.017643565E-1,1.208981433E-1
1.473867042E0,-4.870556592E-2,-5.213985038E-3,-6.763708234E-2,8.351163212E-2
1.483911042E0,-4.610170486E-2,-1.307563957E-2,7.112494648E-2,8.576186538E-2
1.493954042E0,-4.649552854E-2,-1.923307286E-2,-4.518552840E-2,6.762748881E-2
1.503997042E0,-5.761976496E-2,-3.813547653E-2,-7.871697128E-2,1.047411736E-1
1.514040042E0,-4.204779371E-2,-6.006278191E-3,3.699299455E-2,5.632560678E-2
1.524083042E0,-3.731587049E-2,4.703125684E-4,7.606292009E-2,8.472463158E-2
1.534127042E0,-5.076047850E-2,-1.762346230E-3,-4.218883038E-2,6.602749011E-2
1.544170042E0,-2.391169048E-2,2.650220345E-2,-3.605042338E-2,5.073232456E-2
